번호,대분류,중분류,소분류,제목,동영상주소
220,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 사이드 런지 후 제기차기,https://youtu.be/3X4CiOX0hoI
221,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 무릎대고 앉았다 일어나기,https://youtu.be/2rgTtCyoTWM
222,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 더킹 런지(Ducking lunge),https://youtu.be/a1lzn6_V5a0
223,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 스쿼트 후 뒤꿈치 들기,https://youtu.be/70k_8vO2s7I
224,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 다리 뒤로 뻗은 후 니킥,https://youtu.be/pRz8d3qepJQ
225,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 사이드 크런치,https://youtu.be/EvCBmy0cBfQ
226,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 옆으로 다리들기,https://youtu.be/50JBTJXp5_0
227,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 한발 뒤로 차고 점프,https://youtu.be/fcjBXyVETxY
228,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 사이드 런지 후 점프,https://youtu.be/gw88_oXy6fk
229,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 몸통 비틀어 다리 들어올리기,https://youtu.be/pziEkUaxRWQ
230,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 발 바꿔 계단뛰기,https://youtu.be/uHIIc35SAuI
231,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 점프하며 팔다리 앞으로 교차하기,https://youtu.be/NQkyVEeqHLw
232,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 엉덩이 들어올려 다리 벌리기,https://youtu.be/5lnyl11vq2I
233,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 옆으로 누워 미니볼 들어올리기,https://youtu.be/sDngb073b8k
234,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 다리 앞으로 당겼다가 뒤로 차기,https://youtu.be/2E6CT7GYstg
235,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 뒤꿈치 들고 다리 옆으로 차기,https://youtu.be/74t2DyCUkt0
236,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 대각선 뒤로 앉았다 일어나며 다리 옆으로 들기,https://youtu.be/Puuce3TLAgk
237,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 한 다리 힙 쓰러스트(등 대고 누워 다리 구부려 올렸다 내리기),https://youtu.be/pvUZS24KHdg
238,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 내회전 스쿼트(앉아서 한 쪽씩 교차로 무릎 안쪽으로 내렸다 올라오기),https://youtu.be/rx4hh6UTyVM
239,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 리버스 플랭크 터치(앉아서 엉덩이 들고 손 발 닿기),https://youtu.be/KbuZww79fyU
240,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 로우 런지 킥백(한쪽 다리 뒤로 뻗어 쪼그려 앚았다가 일어나면서 뒤로 차기),https://youtu.be/OOXZvBz9Zbk
241,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 싱글레그 햄스트링 컬(누워서 한 발 짐볼에 올려 엉덩이 들고 무릎 구부리기),https://youtu.be/L91j0OBcHZ8
242,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 플랭크 로테이션(회전 플랭크/팔굽혀펴기 자세에서 팔다리 교차하여 들고 골반 회전시키기),https://youtu.be/QbtwunyTygg
243,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 공중 런지(에어본 런지/한 발로 앉았다 일어나며 무릎 당기기),https://youtu.be/rJaEWl8fwAk
244,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 앞뒤로 다리 벌려 앉아 몸통 회전하기,https://youtu.be/hN21Ucw7zqg
245,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 옆으로 누워 무릎 벌리기,https://youtu.be/djdQ5zFA7MY
246,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉아 두 다리 들어올리기,https://youtu.be/O6uDBAFp6bo
247,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉아 다리 뻗기,https://youtu.be/J_4tk10nZY0
248,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉았다 일어서기,https://youtu.be/mz9So3gEgH4
